;Unnamed: 0;krs_code;krs_name;krs_type;krs_name_sh;lon_centr;lat_centr;magnitude;obscuration;Clouds
0;0;['03255'];Landkreis Holzminden;Landkreis;Holzminden;9.551421899;51.88055926;0.296;18.7;99
1;1;['03456'];Landkreis Grafschaft Bentheim;Landkreis;Grafschaft Bentheim;7.019877583;52.47606107;0.338;22.7;13
2;2;['05762'];Kreis Höxter;Kreis;Höxter;9.178102631;51.68493898;0.297;18.8;96
3;3;['06534'];Landkreis Marburg-Biedenkopf;Landkreis;Marburg-Biedenkopf;8.738025455;50.836869;0.289;18.1;99
4;4;['07140'];Landkreis Rhein-Hunsrück-Kreis;Landkreis;Landkreis Rhein-Hunsrück-Kreis;7.500119081;50.04424227;0.293;18.4;87
5;5;['07232'];Landkreis Eifelkreis Bitburg-Prüm;Landkreis;Landkreis Eifelkreis Bitburg-Prüm;6.410146922;50.06215196;0.309;19.8;48
6;6;['09177'];Landkreis Erding;Landkreis;Erding;12.00064095;48.30041408;0.2;10.5;100
7;7;['09271'];Landkreis Deggendorf;Landkreis;Deggendorf;13.00068746;48.77870373;0.194;10.1;100
8;8;['09577'];Landkreis Weißenburg-Gunzenhausen;Landkreis;Weißenburg-Gunzenhausen;10.89366269;49.03266339;0.229;12.8;100
9;9;['09776'];Landkreis Lindau (Bodensee);Landkreis;Lindau (Bodensee);9.882868618;47.60516875;0.218;12.0;100
10;10;['13003'];Kreisfreie Stadt Rostock;Kreisfreie Stadt;Rostock;12.14300145;54.14732647;0.301;19.2;100
11;11;['13072'];Landkreis Rostock;Landkreis;Rostock;12.22105169;53.91197992;0.296;18.7;90
12;12;['13075'];Landkreis Vorpommern-Greifswald;Landkreis;Vorpommern-Greifswald;13.78043235;53.78933115;0.275;16.8;99
13;13;['14522'];Landkreis Mittelsachsen;Landkreis;Mittelsachsen;13.13751627;50.9558051;0.232;13.1;100
14;14;['16066'];Landkreis Schmalkalden-Meiningen;Landkreis;Schmalkalden-Meiningen;10.39674522;50.6310595;0.264;15.8;100
15;15;['01004'];Kreisfreie Stadt Neumünster;Kreisfreie Stadt;Neumünster;9.984668887;54.08112559;0.327;21.5;94
16;16;['03404'];Kreisfreie Stadt Osnabrück;Kreisfreie Stadt;Osnabrück;8.046969693;52.27766934;0.322;21.1;48
17;17;['05116'];Kreisfreie Stadt Mönchengladbach;Kreisfreie Stadt;Mönchengladbach;6.412017352;51.16719826;0.326;21.5;9
18;18;['05558'];Kreis Coesfeld;Kreis;Coesfeld;7.366003225;51.86685621;0.324;21.3;25
19;19;['05774'];Kreis Paderborn;Kreis;Paderborn;8.719661035;51.66416915;0.303;19.3;97
20;20;['06611'];Kreisfreie Stadt Kassel;Kreisfreie Stadt;Kassel;9.460426821;51.31144519;0.288;17.9;90
21;21;['06632'];Landkreis Hersfeld-Rotenburg;Landkreis;Hersfeld-Rotenburg;9.752938912;50.9061724;0.277;17.0;100
22;22;['06634'];Landkreis Schwalm-Eder-Kreis;Landkreis;Landkreis Schwalm-Eder-Kreis;9.373674772;51.02379361;0.284;17.6;90
23;23;['07143'];Landkreis Westerwaldkreis;Landkreis;Landkreis Westerwaldkreis;7.865682673;50.55234661;0.297;18.7;97
24;24;['07311'];Kreisfreie Stadt Frankenthal (Pfalz);Kreisfreie Stadt;Frankenthal (Pfalz);8.357009818;49.53325549;0.273;16.6;60
25;25;['08115'];Landkreis Böblingen;Landkreis;Böblingen;8.942778572;48.67822414;0.25;14.6;100
26;26;['09372'];Landkreis Cham;Landkreis;Cham;12.69428402;49.23710439;0.207;11.1;100
27;27;['10044'];Landkreis Saarlouis;Landkreis;Saarlouis;6.775585327;49.35533869;0.292;18.3;93
28;28;['15082'];Landkreis Anhalt-Bitterfeld;Landkreis;Anhalt-Bitterfeld;12.14326141;51.79544516;0.261;15.5;100
29;29;['15086'];Landkreis Jerichower Land;Landkreis;Jerichower Land;12.02652674;52.26078467;0.27;16.4;99
30;30;['16065'];Landkreis Kyffhäuserkreis;Landkreis;Landkreis Kyffhäuserkreis;10.98481846;51.32476283;0.268;16.1;100
31;31;['03157'];Landkreis Peine;Landkreis;Peine;10.25533984;52.30420532;0.294;18.5;100
32;32;['05316'];Kreisfreie Stadt Leverkusen;Kreisfreie Stadt;Leverkusen;7.015410138;51.05307989;0.316;20.5;57
33;33;['05954'];Kreis Ennepe-Ruhr-Kreis;Kreis;Kreis Ennepe-Ruhr-Kreis;7.324046816;51.34682938;0.317;20.6;78
34;34;['05962'];Kreis Märkischer Kreis;Kreis;Kreis Märkischer Kreis;7.712956603;51.26259848;0.31;20.0;95
35;35;['07131'];Landkreis Ahrweiler;Landkreis;Ahrweiler;7.044993639;50.46759385;0.306;19.6;52
36;36;['08211'];Stadtkreis Baden-Baden;Stadtkreis;Baden-Baden;8.231908135;48.74846538;0.262;15.6;100
37;37;['08337'];Landkreis Waldshut;Landkreis;Waldshut;8.218887663;47.69712369;0.244;14.1;100
38;38;['09173'];Landkreis Bad Tölz-Wolfratshausen;Landkreis;Bad Tölz-Wolfratshausen;11.48311756;47.72747884;0.197;10.3;100
39;39;['09275'];Landkreis Passau;Landkreis;Passau;13.36661308;48.55869455;0.185;9.4;100
40;40;['09478'];Landkreis Lichtenfels;Landkreis;Lichtenfels;11.11686675;50.10932808;0.245;14.2;100
41;41;['09479'];Landkreis Wunsiedel i.Fichtelgebirge;Landkreis;Wunsiedel i.Fichtelgebirge;12.04186728;50.09014451;0.232;13.1;100
42;42;['09571'];Landkreis Ansbach;Landkreis;Ansbach;10.46814493;49.24814867;0.239;13.6;100
43;43;['09663'];Kreisfreie Stadt Würzburg;Kreisfreie Stadt;Würzburg;9.940866788;49.78470165;0.255;15.1;100
44;44;['12067'];Landkreis Oder-Spree;Landkreis;Oder-Spree;14.21904068;52.24402346;0.242;13.9;95
45;45;['12069'];Landkreis Potsdam-Mittelmark;Landkreis;Potsdam-Mittelmark;12.68915901;52.24629001;0.261;15.6;100
46;46;['12073'];Landkreis Uckermark;Landkreis;Uckermark;13.86127741;53.20590304;0.264;15.8;96
47;47;['14628'];Landkreis Sächsische Schweiz-Osterzgebirge;Landkreis;Sächsische Schweiz-Osterzgebirge;13.87342805;50.91671092;0.222;12.3;100
48;48;['14713'];Kreisfreie Stadt Leipzig;Kreisfreie Stadt;Leipzig;12.37478241;51.342214;0.249;14.6;89
49;49;['16053'];Kreisfreie Stadt Jena;Kreisfreie Stadt;Jena;11.58697427;50.92424017;0.253;14.8;99
50;50;['16067'];Landkreis Gotha;Landkreis;Gotha;10.69372042;50.91064664;0.264;15.8;100
51;51;['01056'];Kreis Pinneberg;Kreis;Pinneberg;9.738232035;53.7176459;0.324;21.3;60
52;52;['01059'];Kreis Schleswig-Flensburg;Kreis;Schleswig-Flensburg;9.503385414;54.62357552;0.341;23.0;46
53;53;['01061'];Kreis Steinburg;Kreis;Steinburg;9.519403922;53.92891686;0.33;21.9;89
54;54;['03361'];Landkreis Verden;Landkreis;Verden;9.175483659;52.97320926;0.319;20.8;81
55;55;['03401'];Kreisfreie Stadt Delmenhorst;Kreisfreie Stadt;Delmenhorst;8.645620248;53.04941966;0.327;21.5;41
56;56;['05154'];Kreis Kleve;Kreis;Kleve;6.25882366;51.65235889;0.335;22.4;7
57;57;['05758'];Kreis Herford;Kreis;Herford;8.643942834;52.16760611;0.312;20.2;94
58;58;['05913'];Kreisfreie Stadt Dortmund;Kreisfreie Stadt;Dortmund;7.474891738;51.51607935;0.317;20.7;37
59;59;['06414'];Kreisfreie Stadt Wiesbaden;Kreisfreie Stadt;Wiesbaden;8.26037689;50.07919875;0.283;17.5;99
60;60;['06434'];Landkreis Hochtaunuskreis;Landkreis;Landkreis Hochtaunuskreis;8.504676464;50.28162163;0.283;17.5;99
61;61;['06633'];Landkreis Kassel;Landkreis;Kassel;9.407004296;51.40132826;0.29;18.1;90
62;62;['07135'];Landkreis Cochem-Zell;Landkreis;Cochem-Zell;7.1743112;50.13287542;0.299;19.0;83
63;63;['07141'];Landkreis Rhein-Lahn-Kreis;Landkreis;Landkreis Rhein-Lahn-Kreis;7.8427183;50.26329846;0.292;18.3;96
64;64;['08121'];Stadtkreis Heilbronn;Stadtkreis;Heilbronn;9.182319747;49.15270884;0.255;15.0;100
65;65;['09376'];Landkreis Schwandorf;Landkreis;Schwandorf;12.25249205;49.36853302;0.216;11.8;100
66;66;['09778'];Landkreis Unterallgäu;Landkreis;Unterallgäu;10.38922012;48.03980772;0.219;12.0;100
67;67;['12053'];Kreisfreie Stadt Frankfurt (Oder);Kreisfreie Stadt;Frankfurt (Oder);14.49030659;52.32477669;0.24;13.7;94
68;68;['12061'];Landkreis Dahme-Spreewald;Landkreis;Dahme-Spreewald;13.81999171;52.042339;0.243;14.0;99
