;Unnamed: 0;JPT_KOD_JE;JPT_NAZWA_;lon_centr;lat_centr;magnitude;obscuration;Clouds
0;0;2602;jędrzejowski;20.22397556;50.64143609;0.133;5.8;100
1;1;3061;Kalisz;18.0760814;51.74394547;0.183;9.2;100
2;2;3207;kamieński;14.75399988;53.89857598;0.265;15.9;96
3;3;1803;dębicki;21.35256622;50.01170533;0.105;4.1;100
4;4;2805;ełcki;22.40036775;53.82206979;0.173;8.5;0
5;5;2204;gdański;18.59961156;54.22262479;0.225;12.6;99
6;6;1819;strzyżowski;21.7561318;49.87030887;0.097;3.6;100
7;7;3262;Szczecin;14.61416082;53.43179261;0.258;15.3;92
8;8;2817;szczycieński;21.01745945;53.54294127;0.183;9.3;17
9;9;2216;sztumski;19.23008015;53.91337482;0.212;11.5;98
10;10;1430;szydłowiecki;20.8716744;51.24562959;0.137;6.0;100
11;11;2806;giżycki;21.84409742;53.99881125;0.183;9.3;0
12;12;2818;gołdapski;22.32541443;54.27566125;0.184;9.3;0
13;13;1205;gorlicki;21.17470452;49.59935639;0.098;3.7;98
14;14;3004;gostyński;17.06229809;51.82978943;0.198;10.3;100
15;15;2004;grajewski;22.48081707;53.55772191;0.167;8.0;0
16;16;1405;grodziski;20.59450438;52.08269868;0.158;7.5;34
17;17;3263;Świnoujście;14.32562417;53.85039412;0.27;16.3;98
18;18;1864;Tarnobrzeg;21.70707626;50.58460125;0.113;4.5;100
19;19;1820;tarnobrzeski;21.75783395;50.52152648;0.111;4.4;100
20;20;2214;tczewski;18.73385707;53.93246612;0.218;12.0;94
21;21;618;tomaszowski;23.55384431;50.47370934;0.087;3.1;87
22;22;611;łukowski;22.2339453;51.87435499;0.134;5.8;48
23;23;1411;makowski;21.20351154;52.92450912;0.168;8.2;34
24;24;2209;malborski;19.01395224;54.07474203;0.218;11.9;99
25;25;1208;miechowski;20.06953216;50.3908044;0.13;5.6;100
26;26;1811;mielecki;21.39075025;50.29182938;0.11;4.4;100
27;27;213;milicki;17.31832187;51.5176003;0.188;9.6;100
28;28;1412;miński;21.66032085;52.18238868;0.147;6.7;62
29;29;2008;moniecki;22.7917722;53.41040625;0.16;7.6;0
30;30;3201;białogardzki;16.05986905;53.97589091;0.251;14.7;65
31;31;2002;białostocki;23.23677384;53.09907424;0.148;6.8;0
32;32;2061;Białystok;23.15881392;53.13221953;0.15;6.9;0
33;33;2003;bielski;23.05652418;52.74807017;0.143;6.4;2
34;34;1801;bieszczadzki;22.62375245;49.31841233;0.073;2.4;96
35;35;1424;pułtuski;21.04215374;52.676719;0.165;7.9;85
36;36;1463;Radom;21.15657627;51.40622376;0.137;6.0;100
37;37;1425;radomski;21.19303544;51.37345664;0.136;6.0;100
38;38;615;radzyński;22.6797741;51.7936756;0.127;5.4;72
